split,image,depth,label
val,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/images/val/dongyuan_IMG_0070_20240717232507639.jpg,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/depth/val/dongyuan_IMG_0070_20240717232507639.png,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/labels/val/dongyuan_IMG_0070_20240717232507639.txt
val,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/images/val/dongyuan_IMG_0083_20240706133732406.jpg,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/depth/val/dongyuan_IMG_0083_20240706133732406.png,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/labels/val/dongyuan_IMG_0083_20240706133732406.txt
val,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/images/val/CXJG2_IMG_0019_20241109011424384.jpg,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/depth/val/CXJG2_IMG_0019_20241109011424384.png,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/labels/val/CXJG2_IMG_0019_20241109011424384.txt
val,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/images/val/dongyuan_IMG_0062_20240706173937194.jpg,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/depth/val/dongyuan_IMG_0062_20240706173937194.png,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/labels/val/dongyuan_IMG_0062_20240706173937194.txt
val,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/images/val/dongyuan_IMG_0026_20240706000416706.jpg,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/depth/val/dongyuan_IMG_0026_20240706000416706.png,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/labels/val/dongyuan_IMG_0026_20240706000416706.txt
val,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/images/val/chengxiang_IMG_0045_20240731034623255.jpg,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/depth/val/chengxiang_IMG_0045_20240731034623255.png,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/labels/val/chengxiang_IMG_0045_20240731034623255.txt
val,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/images/val/dongyuan_IMG_0072_20240706135401622.jpg,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/depth/val/dongyuan_IMG_0072_20240706135401622.png,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/labels/val/dongyuan_IMG_0072_20240706135401622.txt
val,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/images/val/jinjiang_IMG_0047_20240711211622315.jpg,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/depth/val/jinjiang_IMG_0047_20240711211622315.png,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/labels/val/jinjiang_IMG_0047_20240711211622315.txt
val,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/images/val/dongyuan_IMG_0082_20240706173425641.jpg,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/depth/val/dongyuan_IMG_0082_20240706173425641.png,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/labels/val/dongyuan_IMG_0082_20240706173425641.txt
val,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/images/val/jinjiang_IMG_0034_20240712001832968.jpg,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/depth/val/jinjiang_IMG_0034_20240712001832968.png,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/labels/val/jinjiang_IMG_0034_20240712001832968.txt
val,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/images/val/jinjiang_IMG_0003_20240711225621410.jpg,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/depth/val/jinjiang_IMG_0003_20240711225621410.png,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/labels/val/jinjiang_IMG_0003_20240711225621410.txt
val,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/images/val/dongyuan_IMG_0009_20240706135008918.jpg,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/depth/val/dongyuan_IMG_0009_20240706135008918.png,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/labels/val/dongyuan_IMG_0009_20240706135008918.txt
val,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/images/val/dongyuan_IMG_0061_20240706000837252.jpg,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/depth/val/dongyuan_IMG_0061_20240706000837252.png,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/labels/val/dongyuan_IMG_0061_20240706000837252.txt
val,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/images/val/dongyuan_IMG_0048_20240706171959580.jpg,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/depth/val/dongyuan_IMG_0048_20240706171959580.png,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/labels/val/dongyuan_IMG_0048_20240706171959580.txt
val,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/images/val/baotou_IMG_0072_20240628182206956.jpg,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/depth/val/baotou_IMG_0072_20240628182206956.png,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/labels/val/baotou_IMG_0072_20240628182206956.txt
val,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/images/val/CXJG2_IMG_0018_20241109041728824.jpg,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/depth/val/CXJG2_IMG_0018_20241109041728824.png,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/labels/val/CXJG2_IMG_0018_20241109041728824.txt
